lam_draft,k,method,auroc_err,spearman_nll,mean_correct,mean_wrong,separation,err_rate,n_positions
0.5,8,epistemic_MI,0.49969407733724913,0.05765751610513793,0.013881448525627782,0.016134870263175487,0.0022534217375477054,0.7591973244147158,299
0.5,8,variation_ratio,0.46509422418012725,-0.11488203856024991,0.15104166666666666,0.11784140969162996,-0.0332002569750367,0.7591973244147158,299
0.5,8,prob_var,0.5333455702398434,0.09815178110480124,0.002928599452120931,0.004065102361459258,0.0011365029093383266,0.7591973244147158,299
0.5,8,subnet_full_kl,0.4755261869799315,0.009822899598213284,0.03922569306064122,0.035125627628618844,-0.004100065432022376,0.7591973244147158,299
0.5,8,full_entropy,0.452153695545766,-0.2924675091468205,1.141947694615572,1.1123128702116714,-0.02963482440390064,0.7591973244147158,299
1.0,8,epistemic_MI,0.5243514439549681,0.029350182936409955,0.006871050416608291,0.0076069538096571725,0.0007359033930488812,0.7591973244147158,299
1.0,8,variation_ratio,0.49654307391091534,-0.06361657364714324,0.09027777777777778,0.08590308370044053,-0.004374694077337246,0.7591973244147158,299
1.0,8,prob_var,0.5413607440039158,0.08136517698817086,0.0014432371473755191,0.0017953706599695444,0.0003521335125940253,0.7591973244147158,299
1.0,8,subnet_full_kl,0.46769456681350957,-0.04464232003770959,0.033694170813953754,0.030524591014151593,-0.0031695797998021608,0.7591973244147158,299
1.0,8,full_entropy,0.452153695545766,-0.2924675091468205,1.141947694615572,1.1123128702116714,-0.02963482440390064,0.7591973244147158,299
2.0,8,epistemic_MI,0.4823176700930005,-0.004554779915153419,0.009191626499035785,0.009559532256505169,0.00036790575746938406,0.7591973244147158,299
2.0,8,variation_ratio,0.46980543318649043,-0.1489519089009513,0.1076388888888889,0.09140969162995595,-0.016229197258932945,0.7591973244147158,299
2.0,8,prob_var,0.5314488497307881,0.07995914794280712,0.001957910265661141,0.002296112954102805,0.00033820268844166404,0.7591973244147158,299
2.0,8,subnet_full_kl,0.46787812041116006,-0.03855446566855963,0.04158610989577071,0.03759368914426869,-0.003992420751502024,0.7591973244147158,299
2.0,8,full_entropy,0.452153695545766,-0.2924675091468205,1.141947694615572,1.1123128702116714,-0.02963482440390064,0.7591973244147158,299
